yil,ay,il,arac_tipi,police_adedi,prim_tl,hasar_tl,hasar_prim_orani
2015,1,Adana,Otomobil,211,212185,149346,0.704
2015,1,Adana,Kamyon,256,326901,299598,0.916
2015,1,Adana,Motosiklet,124,153545,159963,1.042
2015,1,Adana,Minibüs,279,257612,242909,0.943
2015,1,Adıyaman,Otomobil,173,413190,338947,0.82
2015,1,Adıyaman,Kamyon,293,385680,293158,0.76
2015,1,Adıyaman,Motosiklet,247,415093,343014,0.826
2015,1,Adıyaman,Minibüs,220,184614,158602,0.859
2015,1,Afyonkarahisar,Otomobil,82,135844,115994,0.854
2015,1,Afyonkarahisar,Kamyon,370,640164,566519,0.885
2015,1,Afyonkarahisar,Motosiklet,63,66706,55982,0.839
2015,1,Afyonkarahisar,Minibüs,191,361311,332448,0.92
2015,1,Ağrı,Otomobil,157,291021,243977,0.838
2015,1,Ağrı,Kamyon,131,169966,136756,0.805
2015,1,Ağrı,Motosiklet,279,554433,529392,0.955
2015,1,Ağrı,Minibüs,285,324583,300793,0.927
2015,1,Amasya,Otomobil,177,94265,74165,0.787
2015,1,Amasya,Kamyon,67,43200,35691,0.826
2015,1,Amasya,Motosiklet,101,79505,73490,0.924
2015,1,Amasya,Minibüs,87,82715,63471,0.767
2015,1,Ankara,Otomobil,603,5199792,3956005,0.761
2015,1,Ankara,Kamyon,435,2646310,2251901,0.851
2015,1,Ankara,Motosiklet,1101,9703951,10292125,1.061
2015,1,Ankara,Minibüs,1032,5863659,4545623,0.775
2015,1,Antalya,Otomobil,259,1241140,926753,0.747
2015,1,Antalya,Kamyon,81,247003,188431,0.763
2015,1,Antalya,Motosiklet,436,1952013,1717557,0.88
2015,1,Antalya,Minibüs,286,900582,731223,0.812
2015,1,Artvin,Otomobil,223,269316,228389,0.848
2015,1,Artvin,Kamyon,228,333362,270203,0.811
2015,1,Artvin,Motosiklet,310,452099,442187,0.978
2015,1,Artvin,Minibüs,223,339022,306512,0.904
2015,1,Aydın,Otomobil,139,264263,200891,0.76
2015,1,Aydın,Kamyon,270,453596,437534,0.965
2015,1,Aydın,Motosiklet,216,356626,293912,0.824
2015,1,Aydın,Minibüs,141,159260,115311,0.724
2015,1,Balıkesir,Otomobil,370,493004,399056,0.809
2015,1,Balıkesir,Kamyon,325,285103,238137,0.835
2015,1,Balıkesir,Motosiklet,384,865971,900033,1.039
2015,1,Balıkesir,Minibüs,117,121280,90200,0.744
2015,1,Bilecik,Otomobil,50,31777,25816,0.812
2015,1,Bilecik,Kamyon,16,15050,14919,0.991
2015,1,Bilecik,Motosiklet,27,23275,20183,0.867
2015,1,Bilecik,Minibüs,88,43390,38247,0.881
2015,1,Bingöl,Otomobil,176,462419,361207,0.781
2015,1,Bingöl,Kamyon,205,444002,342341,0.771
2015,1,Bingöl,Motosiklet,459,1247713,1212287,0.972
2015,1,Bingöl,Minibüs,270,427928,400126,0.935
